image_path,labels
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0022.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0023.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0024.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0025.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0026.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0027.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0028.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0029.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0030.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0031.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0032.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0033.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0034.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0035.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0036.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0037.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0038.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0039.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0040.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0041.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0042.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0043.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0044.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0045.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0046.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0047.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0048.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0049.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0050.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0051.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0052.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0053.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0054.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0055.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0001.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0002.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0003.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0004.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0005.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0006.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0007.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0008.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0009.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0010.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0011.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0012.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0013.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0014.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0015.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0016.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0017.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0018.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0019.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0020.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0021.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0022.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0023.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0024.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0025.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0026.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0027.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0028.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0029.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0030.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0031.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0032.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0033.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0034.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0035.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0036.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0037.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0038.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0039.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0040.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0041.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0042.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0043.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0044.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0045.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0046.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0047.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0048.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0049.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0050.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0051.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0052.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0053.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0054.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0055.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0056.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0057.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0058.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0059.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0060.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0061.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0062.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0063.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0064.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0065.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0066.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0067.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0068.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0069.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0070.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0071.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0072.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0073.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0074.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0075.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0076.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0077.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0078.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0079.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0080.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0081.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0082.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0083.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0084.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0085.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0086.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0087.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0088.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0089.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0090.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0091.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0092.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0093.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0094.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0095.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0096.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0097.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0098.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0099.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0100.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0101.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0102.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0103.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0104.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0105.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0106.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0107.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0108.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0109.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0110.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0111.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0112.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0113.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0114.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0115.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0116.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0117.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0118.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0119.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0120.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0121.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0122.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0123.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0124.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0125.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0126.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0127.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0128.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0129.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0130.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0131.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0132.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0133.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0134.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0135.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0136.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0137.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0138.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0139.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0140.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0141.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0142.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0143.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0144.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0145.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0146.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0147.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0148.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0149.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0150.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0151.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0152.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0153.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0154.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0155.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0156.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0157.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0158.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0159.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0160.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0161.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0162.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0163.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0164.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0165.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0166.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0167.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0168.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0169.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0170.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0171.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0172.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0173.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0174.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0175.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0176.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0177.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0178.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0179.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0180.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0181.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0182.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0183.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0184.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0185.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0186.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0187.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0188.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0189.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0190.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0191.jpg,airplanes
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\airplanes\image_0192.jpg,airplanes
